Position Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status
0,0,8.353530443549545,2025-10-02 15:45:00,119662.0,399.8400639743777,2025-10-02 17:10:00,119776.5,400.2226556687249,156.41651614337638,0.00015647908274983374,Long,Closed
1,0,8.31927599604388,2025-10-02 18:10:00,120173.5,399.9026055642171,2025-10-02 20:30:00,120374.5,400.5714753543136,871.7003942862509,0.0008719126928981611,Long,Closed
2,0,8.302243233886117,2025-10-02 23:15:00,120525.0,400.2511463055853,2025-10-03 00:15:00,120215.0,399.2216681446478,-3373.168216954993,-0.0033710516490354694,Long,Closed
3,0,8.305310838479151,2025-10-03 02:45:00,120074.5,398.9024185099406,2025-10-03 04:25:00,120207.5,399.34426104659303,306.35966196122956,0.0003072026117119772,Long,Closed
4,0,8.313503983082839,2025-10-03 06:35:00,119993.0,399.0249133767793,2025-10-03 07:05:00,119790.5,398.35151955419394,-2480.8609895052314,-0.0024869234038651642,Long,Closed
5,0,8.291938856391935,2025-10-03 08:55:00,120006.0,398.03296575997956,2025-10-03 11:25:00,120283.0,398.95171258535646,1499.8823848752543,0.00150729463526835,Long,Closed
6,0,8.284860250246089,2025-10-03 12:20:00,120289.5,398.63267882878426,2025-10-03 12:35:00,120173.5,398.24826131317934,-1757.9247291706192,-0.0017639544598656773,Long,Closed
7,0,8.252517463844631,2025-10-03 13:25:00,120548.0,397.92979009251576,2025-10-03 14:15:00,119976.0,396.0416140968894,-5514.411393508476,-0.005543099844045365,Long,Closed
8,0,8.185571536777015,2025-10-03 14:45:00,120860.5,395.7249074882129,2025-10-03 17:20:00,122379.5,400.69846075400113,11637.459796122048,0.011763181519189496,Long,Closed
9,0,8.175752176936669,2025-10-03 18:50:00,122428.5,400.378030157648,2025-10-03 20:15:00,122158.0,399.49341377209186,-3011.412407791133,-0.0030085690831791975,Long,Closed
10,0,8.152429893673528,2025-10-03 21:10:00,122409.5,399.1739468277665,2025-10-03 21:35:00,122165.0,398.3766391842506,-2790.819695015263,-0.002796595035516017,Long,Closed
11,0,8.124429848280156,2025-10-03 22:25:00,122488.0,398.05806530243717,2025-10-03 23:25:00,122288.5,397.40973580056317,-2416.2915558349155,-0.002428079485337344,Long,Closed
12,0,8.140466074870645,2025-10-04 03:15:00,121950.0,397.0919351321645,2025-10-04 06:10:00,122419.5,398.6207146610508,3026.2361723585377,0.0030483985239852505,Long,Closed
13,0,8.139375042851517,2025-10-04 08:30:00,122338.0,398.30194559693336,2025-10-04 08:50:00,122277.0,398.10334484590203,-1292.9071680567831,-0.001298419133874993,Long,Closed
14,0,8.129043514138669,2025-10-04 09:40:00,122334.5,397.78498951205984,2025-10-04 09:45:00,122236.0,397.4647051977018,-1595.960480852381,-0.0016048473652157237,Long,Closed
15,0,8.151585185844764,2025-10-04 17:35:00,121800.5,397.1468605713453,2025-10-04 18:10:00,121735.5,396.93491935656215,-1323.9348170078201,-0.0013334460860176633,Long,Closed
16,0,8.13520955320807,2025-10-04 19:30:00,121883.0,396.61749838944525,2025-10-05 00:55:00,122169.5,397.5497934042613,1536.5702452004516,0.001549674688020544,Long,Closed
17,0,8.115750089580837,2025-10-05 01:50:00,122364.5,397.2318807345582,2025-10-05 06:20:00,124822.5,405.2112862226817,19146.070553232446,0.019279490375067966,Long,Closed
18,0,8.22704111434238,2025-10-05 11:15:00,123035.5,404.88724680943415,2025-10-05 12:35:00,122967.5,404.6634712911587,-1368.9895138758843,-0.001352464938981001,Long,Closed
19,0,8.198593418954065,2025-10-05 13:25:00,123295.5,404.3398699546233,2025-10-05 14:20:00,123151.0,403.8659912550449,-1992.9026102484297,-0.001971512342299461,Long,Closed
20,0,8.20169397524275,2025-10-05 16:25:00,123006.0,403.5430276474217,2025-10-05 18:05:00,122972.5,403.4331249482156,-1081.7329007663457,-0.0010722355007072965,Long,Closed
21,0,8.198335309381738,2025-10-05 20:40:00,122924.5,403.11050749523565,2025-10-05 21:30:00,122607.0,402.0693189109467,-3408.1512871348555,-0.003381853088684487,Long,Closed
22,0,8.174477828915036,2025-10-05 22:10:00,122866.5,401.74779206654057,2025-10-06 01:05:00,123551.5,403.98759899167845,4793.781921748579,0.004772926713139885,Long,Closed
23,0,8.128859647285383,2025-10-06 01:35:00,124145.5,403.6645381367998,2025-10-06 02:45:00,123837.0,402.661436856352,-3314.07917618074,-0.0032839933787370667,Long,Closed
24,0,8.119113795833417,2025-10-06 03:20:00,123886.5,402.3394365069689,2025-10-06 04:15:00,123888.0,402.34430797528415,-792.5050737885986,-0.0007878969863545029,Long,Closed
25,0,8.11615875340381,2025-10-06 06:10:00,123834.0,402.0225612275535,2025-10-06 07:40:00,123368.0,400.50970923596856,-4584.662249549747,-0.004561596976597702,Long,Closed
26,0,8.082251085143412,2025-10-06 08:45:00,123786.5,400.1894295803504,2025-10-06 11:20:00,123921.5,400.6258711390397,290.28859577498264,0.00029015118773059127,Long,Closed
27,0,8.05527939726385,2025-10-06 11:45:00,124237.0,400.30549859115854,2025-10-06 15:00:00,124679.5,401.73128304446334,2762.4243516536453,0.0027603161699010785,Long,Closed
28,0,8.016912717306777,2025-10-06 15:35:00,125176.0,401.41002652060706,2025-10-06 16:40:00,125193.0,401.464541527115,-666.5870518534427,-0.0006642455422763809,Long,Closed
29,0,7.995875889221581,2025-10-06 16:55:00,125422.0,401.1434983111685,2025-10-06 18:10:00,125242.5,400.5693944223336,-2236.972614848741,-0.002230595908213824,Long,Closed
30,0,7.992289584894179,2025-10-06 22:20:00,125198.5,400.2490670377156,2025-10-06 23:05:00,124929.0,399.38749822049795,-2953.5586083872004,-0.002951720667579855,Long,Closed
31,0,7.9842685932643445,2025-10-07 01:00:00,124954.5,399.06811597477645,2025-10-07 01:40:00,124784.0,398.5235888567592,-2158.909499983031,-0.0021639508781195163,Long,Closed
32,0,7.991813558666086,2025-10-07 04:40:00,124566.5,398.20489746215753,2025-10-07 06:05:00,124455.0,397.84846257751514,-1687.1405718309823,-0.0016947461797513445,Long,Closed
33,0,8.019056890982565,2025-10-07 08:55:00,123933.0,397.5303110680543,2025-10-07 17:30:00,121402.0,389.41181787162617,-21083.17512001657,-0.02121415603592265,Long,Closed
34,0,8.012941225710698,2025-10-07 19:20:00,121397.5,389.10041297925636,2025-10-07 21:45:00,121820.0,390.4546000464309,2605.9126548370855,0.002678910191725563,Long,Closed
35,0,7.997932802148149,2025-10-08 00:45:00,121951.0,390.1423612618819,2025-10-08 03:10:00,121800.0,389.6592861206579,-1987.4895005068818,-0.0020377069478724505,Long,Closed
36,0,8.00856672507377,2025-10-08 04:50:00,121541.0,389.34768333286047,2025-10-08 07:55:00,121561.0,389.41175186667704,-618.5881006980652,-0.0006355122962621535,Long,Closed
37,0,7.986722614599813,2025-10-08 08:25:00,121796.0,389.10034702706616,2025-10-08 10:10:00,122558.5,391.53629742457247,5309.239349180723,0.005457964136753319,Long,Closed
38,0,7.9736346292062175,2025-10-08 10:25:00,122661.5,391.2231936281314,2025-10-08 12:00:00,122800.0,391.6649329866094,321.46026953029934,0.00032867199569546987,Long,Closed
39,0,7.97264695035907,2025-10-08 14:20:00,122717.0,391.3517263229005,2025-10-08 15:00:00,122372.0,390.2515010437361,-3532.1664252405185,-0.0036102218926473287,Long,Closed
40,0,7.944069639027519,2025-10-08 16:30:00,122714.0,389.9394246734446,2025-10-08 18:45:00,123660.5,392.947049438785,6736.175439227308,0.00690997115243574,Long,Closed
41,0,7.944430409935832,2025-10-08 20:25:00,123556.0,392.6328174920054,2025-10-08 20:45:00,123286.0,391.7748190077396,-2929.4038471824165,-0.002984369840396247,Long,Closed
42,0,7.9301335081648565,2025-10-08 22:05:00,123409.5,391.46152447036,2025-10-08 23:00:00,123181.0,390.7367102677021,-2594.2337413537102,-0.002650818616070876,Long,Closed
43,0,7.913192277926339,2025-10-08 23:45:00,123346.0,390.4242458852241,2025-10-09 00:15:00,123132.0,389.7468766262504,-2473.594269987753,-0.0025342629675871382,Long,Closed
